date,liters,energy
2016-08-19,242,1439
2017-01-24,214,1316
2016-07-14,263,1611
2016-05-23,195,1341
2016-11-08,142,1403
2016-04-29,215,1312
2017-01-21,167,798
2016-10-21,200,827
2016-09-23,261,1354
2016-10-07,189,1642
2016-07-30,259,1315
2016-06-15,240,1406
2017-02-21,234,1060
2016-05-01,213,836
2016-08-02,230,1477
2017-02-25,247,1591
2016-05-17,218,785
2016-11-18,194,503
2017-03-14,290,1183
2016-10-11,267,1211
2016-05-08,158,1381
2016-12-14,244,835
2017-02-12,159,1282
2016-11-22,175,1179
2017-04-22,262,1166
2016-06-29,226,1285
2016-08-30,227,1006
2016-07-17,160,1559
2016-10-01,222,995
2016-11-21,312,1328
2016-12-21,163,1249
2016-05-08,210,1371
2016-05-27,237,998
2016-09-11,186,569
2017-04-27,169,929
2016-10-05,219,1120
2016-07-09,192,1218
2016-05-06,216,1544
2016-11-26,144,1122
2016-12-26,188,1321
2017-01-27,285,1544
2016-09-25,189,1479
2016-12-19,137,868
2016-11-18,133,1528
2017-04-28,196,1273
2016-12-30,217,702
2017-02-04,194,1638
2016-10-23,100,896
2016-07-07,144,1679
2016-10-25,256,1423
2016-07-07,135,1379
2016-09-02,190,1422
2017-01-31,231,1196
2017-04-05,156,771
2016-09-03,221,747
2016-11-06,225,948
2016-12-16,117,1227
2017-04-03,141,1198
2016-10-19,275,1302
2016-05-21,138,849
2016-08-01,240,1155
2016-07-22,262,1538
2016-09-06,195,769
2016-11-23,225,891
2016-12-09,199,750
2017-01-11,204,769
2016-05-29,104,1331
2016-07-07,207,1372
2017-01-20,151,1687
2016-09-15,278,1481
2016-07-24,141,1507
2016-11-10,268,1325
2016-06-05,180,1263
2016-09-03,228,955
2016-11-13,155,1638
2017-02-13,123,1390
2016-08-30,302,1289
2017-01-31,168,1351
2016-11-30,226,864
2017-03-10,210,898
2016-10-27,119,1680
2017-03-15,120,1335
2016-08-14,251,1142
2017-03-13,129,617
2017-04-15,101,1615
2016-05-07,173,1737
2016-10-09,278,1193
2016-11-20,206,1011
2016-07-20,234,1487
2017-03-19,199,1202
2016-08-21,218,1574
2017-01-19,260,1383
2016-11-14,279,1113
2016-12-13,96,1577
2017-01-21,140,1266
2016-12-05,129,752
2016-05-06,239,1442
2016-09-17,241,1425
2016-11-01,169,772
2017-02-07,159,995
2017-03-06,232,1332
2016-09-02,137,1295
2016-09-13,161,965
2016-05-27,216,1312
2017-03-25,191,521
2016-11-06,307,1582
2016-06-08,170,811
2017-04-01,185,1435
2017-03-23,262,1594
2017-03-20,148,1226
2016-05-28,289,656
2017-02-03,192,689
2016-08-08,164,1621
2016-08-27,175,1757
2016-12-09,261,700
2016-09-30,198,707
2016-07-08,201,1085
2016-05-02,120,818
2016-08-23,242,994
2017-03-05,274,1384
2016-06-24,275,750
2016-06-17,229,1057
2017-01-22,227,1343
2016-09-05,232,1479
2017-02-20,193,1160
2016-05-01,215,887
2017-02-09,207,1067
2017-03-02,214,1150
2016-10-27,274,1365
2016-07-19,229,1290
2017-03-12,167,1151
2017-03-20,128,718
2017-02-08,191,1327
2016-04-29,244,1431
2016-08-01,181,1636
2016-09-11,230,589
2016-06-17,273,1607
2016-11-30,91,1021
2016-12-30,214,1036
2017-03-05,238,1292
2016-06-18,208,764
2016-10-24,308,1382
2016-11-06,214,963
2017-02-01,287,909
2016-11-28,136,876
2017-02-14,212,1288
2016-06-02,224,1555
2016-07-04,155,633
2016-08-29,263,1057
2016-11-07,176,1325
2016-04-30,161,1503
2017-04-13,290,1449
2016-10-07,315,718
2016-08-19,189,725
2016-07-27,133,1116
2016-08-14,218,1129
2017-03-01,198,1515
2016-10-08,103,1584
2016-11-04,241,907
2017-02-15,255,1133
2016-11-13,256,1185
2016-09-19,276,1780
2017-03-13,114,986
2017-04-19,101,808
2016-06-24,279,1639
2017-01-01,255,631
2016-10-29,193,1529
2017-04-09,163,1406
2016-09-07,175,1673
2016-05-19,247,638
2016-12-23,319,1615
2016-09-15,266,1575
2016-08-08,172,925
2017-03-04,227,1439
2017-02-16,110,1565
2016-09-13,256,1314
2016-05-01,200,701
2016-10-09,239,1039
2017-02-25,284,1441
2017-01-12,317,1492
2016-07-06,223,1486
2017-01-08,182,992
2017-04-01,318,1585
2016-05-18,152,1466
2016-05-31,159,945
2017-04-25,287,1593
2016-07-25,315,857
2016-05-17,291,543
2016-10-05,312,1595
2016-07-23,153,900
2016-09-29,191,707
2017-04-08,157,1406
2016-09-13,119,1059
2017-04-15,195,1523
2017-02-14,110,1182
2017-02-28,117,1221
2017-01-16,277,1671
2016-06-21,153,1597
2016-08-01,180,726
2017-04-01,208,962
2016-07-30,180,1268
2016-09-05,185,831
2016-11-20,231,1318
2016-06-21,264,1598
2016-12-01,199,1137
2016-12-30,275,929
2016-09-02,116,813
2017-02-18,280,1508
2016-12-03,245,658
2016-07-17,196,1104
2016-09-12,145,1369
2016-04-30,227,859
2016-11-27,187,1162
2016-05-12,289,1517
2016-11-20,266,1518
2017-01-30,210,1282
2016-09-29,158,1158
2016-12-02,263,811
2017-02-04,273,1715
2016-06-29,148,780
2017-03-08,227,1605
2016-05-09,301,1564
2016-08-28,202,1574
2017-03-14,101,726
2016-09-24,279,676
2016-11-23,268,826
2016-07-01,188,1488
2016-12-12,233,1373
2017-01-27,287,941
2016-12-27,274,1338
2016-05-27,193,1372
2016-10-21,306,932
2016-10-31,165,662
2017-03-07,286,902
2016-09-15,128,1579
2017-03-24,322,1606
2016-08-26,170,1110
2016-11-09,243,955
2017-04-01,167,921
2016-08-06,288,713
2016-06-11,255,1572
2016-10-18,187,1140
2017-02-11,196,1338
2016-09-10,247,1249
2016-07-24,240,822
2016-07-02,197,1472
2016-11-11,208,932
2016-10-09,150,1168
2016-07-07,306,956
2017-04-11,233,1331
2016-06-13,286,1582
2017-02-02,201,1700
2016-12-03,260,1547
2016-08-11,117,609
2016-08-09,261,1158
2016-05-26,107,851
2016-09-25,213,1715
2016-07-15,192,949
2017-03-14,173,1657
2017-03-11,216,1193
2017-01-30,278,978
2017-01-19,249,1434
2017-02-24,201,801
2017-02-16,330,1282
2016-09-26,160,666
2016-09-08,197,686
2016-11-21,323,1212
2016-08-29,219,1575
2016-08-22,183,1166
2016-12-09,197,1345
2016-11-10,133,1525
2016-10-21,276,1477
2016-09-22,123,733
2016-12-13,218,1234
2016-07-04,271,986
2017-03-07,287,733
2017-04-16,92,1050
2017-04-11,224,1150
2016-09-28,189,761
2016-09-03,197,871
2016-11-11,276,1643
2016-10-06,260,1375
2017-01-18,193,1207
2016-11-26,303,1212
2016-08-06,256,1716
2017-01-17,139,1052
2016-08-13,247,506
2016-11-10,244,944
2017-02-16,260,919
2016-05-30,180,628
2016-11-24,167,824
2017-02-20,124,681
2016-12-14,135,968
2016-10-02,273,771
2016-06-15,264,777
2016-05-01,248,879
2016-10-21,101,1363
2016-08-25,291,869
2016-09-06,235,1682
2016-09-29,196,666
2016-10-27,231,787
2017-03-30,175,1503
2016-10-30,223,829
2016-12-09,200,1567
2016-09-06,303,1167
2017-02-23,186,1004
2016-10-19,212,743
2016-11-14,216,972
2016-12-01,250,999
2017-01-01,226,1054
2017-02-06,204,1323
2016-08-05,252,1165
2017-03-16,206,880
2016-05-28,153,636
2016-06-25,295,1436
2017-01-17,291,1226
2017-02-25,208,1133
2016-12-29,157,752
2016-08-25,167,1447
2016-10-09,160,1478
2017-03-17,262,783
2016-05-05,309,1601
2017-04-26,189,1107
2017-01-09,165,632
2017-01-26,155,1099
2017-04-09,203,929
2016-12-08,222,1043
2016-11-21,218,1382
2016-10-26,192,1233
2016-08-11,181,1502
2016-05-01,325,1151
2016-09-28,252,1004
2016-10-06,184,1112
2016-08-07,169,1206
2016-06-20,261,1320
2016-08-05,242,1103
2016-05-01,327,1309
2016-06-18,246,546
2017-03-15,190,1318
2017-04-02,148,760
2016-09-12,200,1069
2016-11-16,240,918
2016-11-26,182,850
2016-05-29,156,871
2016-12-22,270,577
2017-01-26,178,1451
2016-05-10,161,1301
2016-05-06,201,1418
2016-07-23,162,1380
2016-09-08,191,837
2016-12-25,225,1359
2016-09-11,241,1145
2016-12-02,237,831
2016-09-05,131,1196
2016-06-08,258,1314
2016-09-03,180,1528
2016-10-02,220,938
2016-05-31,299,901
2016-04-29,288,995
2016-10-11,139,1717
2016-12-30,130,1330
2016-08-29,127,1133
2016-12-07,183,1396
2016-06-21,173,1150
2017-01-22,165,1689
2016-11-04,149,861
2016-06-09,152,1766
2016-12-17,139,1568
2016-12-28,310,1581
2017-02-20,258,1089
2016-06-07,131,1022
2016-11-12,232,1450
2016-07-19,170,1563
2016-09-14,179,1742
2016-05-04,241,909
2016-05-31,213,1152
2016-05-05,145,1330
2016-09-10,251,1277
2016-08-16,224,1674
2016-07-21,130,1461
2016-12-13,260,1329
2016-06-08,189,712
2016-11-27,246,503
2016-09-02,187,671
2016-06-03,152,760
2017-03-21,305,1410
2016-06-20,208,1231
2016-10-03,241,762
2016-06-19,261,856
2017-01-30,223,801
2016-06-28,157,648
2016-07-02,195,1348
2017-01-28,251,1067
2016-07-25,191,1272
2016-08-03,201,711
2016-10-12,260,1107
2017-02-11,147,822
2016-06-14,263,1573
2016-09-22,148,1175
2017-02-09,235,1397
2016-11-22,209,749
2016-12-04,200,730
2016-09-06,193,1478
2016-12-18,204,1381
2016-08-11,188,1598
2016-07-02,120,1575
2017-02-18,106,839
2016-07-17,226,557
2016-07-26,299,989
2016-08-03,133,1315
2016-06-25,202,1622
2016-06-01,168,1388
2017-04-21,256,1259
2016-12-21,122,1635
2016-11-17,105,820
2016-05-18,144,942
2016-07-04,183,1477
2016-07-21,283,1259
2016-08-28,262,1426
2017-04-14,246,1182
2016-09-12,291,777
2016-07-01,240,585
2017-01-02,263,1494
2017-03-02,220,1524
2016-09-24,146,1500
2016-12-21,98,1269
2016-11-30,163,1661
2016-07-21,165,1068
2016-06-19,305,1366
2017-01-18,122,1467
2017-01-24,142,1422
2016-08-01,105,1519
2017-04-22,237,1457
2017-04-16,271,1150
2017-03-15,143,1553
2017-03-05,240,1158
2016-07-16,226,1026
2016-11-14,222,977
2016-05-01,129,868
2017-03-15,224,1645
2017-04-11,126,1521
2016-08-13,276,1535
2016-09-14,258,1162
2017-04-04,202,1458
2016-07-19,172,1097
2017-04-02,130,1288
2016-09-06,166,1490
2016-05-19,285,984
2016-06-22,181,842
2017-03-31,120,1301
2016-09-27,211,1120
2016-09-10,271,1135
2017-03-22,146,1585
2016-06-11,239,1495
2016-06-25,289,1365
2017-02-28,197,837
2016-07-13,207,943
2016-07-20,165,1189
2017-02-12,168,1580
2017-02-25,173,1483
2016-05-06,259,1020
2016-06-11,253,826
2017-03-31,123,1069
2016-11-06,178,949
2016-09-27,244,939
2016-10-23,168,630
2016-11-27,162,1356
2016-07-19,224,700
2016-07-02,225,827
2016-09-02,215,1101
2017-01-17,325,1156
2016-09-04,136,1325
2017-04-21,141,1695
2017-04-08,175,1017
2017-01-13,271,1696
2017-03-24,235,1571
2016-07-02,216,1373
2016-08-03,156,1550
2016-12-30,198,1288
2017-01-04,212,987
2016-08-02,254,789
2017-03-26,299,817
2017-04-13,250,1633
2016-07-27,163,1359
2016-09-19,205,1481
2017-02-14,167,1114
2017-02-20,199,1484
2017-03-02,112,946
2016-10-09,141,749
2017-04-09,167,1591
2016-11-03,162,940
2016-08-13,182,1314
2017-02-21,266,807
2016-11-02,158,701
2016-06-07,136,740
2017-03-27,179,752
2016-06-07,307,1505
2017-04-19,142,746
2016-07-01,277,1692
2017-04-20,162,1253
2016-07-06,252,1465
2016-10-16,169,809
2017-03-16,195,1387
2017-02-25,244,1669
2016-08-06,177,1052
2016-12-26,285,1254
2016-06-03,191,701
2016-08-18,176,903
2016-07-26,185,1226
2016-10-18,249,713
2016-05-23,256,1247
2016-10-08,124,1001
2016-11-30,213,983
2016-06-07,197,1474
2016-08-20,202,1432
2016-11-16,257,747
2016-11-29,133,1664
2016-05-06,141,1274
2016-11-30,236,751
2016-10-02,236,551
2016-05-10,140,1222
2016-05-10,167,1502
2016-11-04,138,933
2016-07-06,239,1023
2017-02-18,255,1007
2016-05-13,256,625
2017-01-17,186,1582
2016-08-10,291,1375
2017-04-01,214,987
2016-08-24,123,795
2016-10-01,192,1185
2017-04-19,178,1334
2016-07-18,242,1319
2016-11-06,296,718
2016-06-27,210,1253
2017-03-20,205,592
2017-02-03,230,971
2017-04-23,273,1505
2017-04-19,260,1270
2016-06-30,201,1439
2016-11-03,224,933
2016-05-20,196,1681
2016-08-29,200,657
2016-11-25,200,703
2017-03-29,252,1393
2016-12-14,321,1079
2016-06-29,115,515
2016-11-24,246,866
2016-11-12,300,762
2016-10-07,96,1644
2017-04-01,234,1396
2017-03-22,269,987
2016-12-08,219,693
2017-03-22,207,1156
2017-03-25,189,1704
2016-11-29,330,1552
2017-04-23,90,1714
2017-03-15,276,1326
2016-10-26,244,801
2016-07-22,286,843
2017-03-25,231,1418
2016-09-02,194,1086
2016-12-01,229,1266
2016-11-02,244,1588
2016-07-17,213,1304
2016-12-07,228,1637
2017-04-04,132,650
2017-04-09,118,1295
2016-11-01,325,824
2016-06-13,135,1469
2016-11-26,254,1370
2017-01-30,199,1191
2016-10-15,252,888
2016-07-13,283,1528
2016-09-01,191,1264
2016-06-08,264,1206
2017-02-07,265,1161
2016-09-02,271,1291
2016-08-31,283,723
2016-07-10,240,1087
2016-07-28,235,1663
2017-03-15,259,1320
2017-03-02,215,591
2016-07-10,317,792
2016-10-19,210,992
2016-10-29,135,770
2017-01-22,314,737
2016-06-14,254,1174
2016-11-27,220,1211
2016-08-12,202,1597
2017-02-26,202,717
2016-10-23,231,779
2016-11-08,183,1150
2016-12-11,210,1459
2016-10-09,221,1683
2016-12-06,145,1084
2017-01-24,225,856
2017-02-12,231,776
2016-11-01,240,912
2016-08-23,289,1454
2016-06-30,212,1634
2016-08-29,220,912
2017-03-10,227,1039
2016-07-28,327,720
2016-10-24,211,1597
2016-12-29,146,789
2016-10-24,253,1567
2017-01-23,162,1380
2017-03-19,236,1426
2016-10-18,214,814
2017-01-16,232,1424
2017-03-11,232,825
2017-03-27,189,1527
2016-12-08,163,1334
2016-11-04,198,1404
2017-03-16,279,843
2016-05-15,321,1097
2017-04-05,223,714
2016-10-16,278,1194
2016-12-25,253,848
2016-05-22,119,1100
2016-09-21,175,919
2017-03-05,307,1117
2016-06-18,273,1431
2016-07-20,123,931
2016-09-24,213,892
2017-02-07,312,1241
2017-01-17,291,1668
2016-08-12,200,1303
2017-02-06,142,935
2016-04-30,264,765
2016-09-14,206,1536
2016-12-28,269,926
2016-06-20,249,1238
2016-08-25,229,991
2017-04-12,233,1307
2017-04-15,223,1004
2016-06-25,201,953
2016-12-24,201,1720
2016-09-28,180,1160
2017-01-05,235,728
2017-04-10,179,1255
2016-05-10,281,735
2016-06-27,269,959
2016-11-21,223,769
2017-03-12,277,1790
2016-06-04,284,853
2016-12-13,158,734
2016-10-31,307,1425
2016-12-16,229,1109
2016-06-20,152,768
2017-02-28,275,833
2017-03-12,299,1498
2017-01-23,142,1405
2016-12-10,270,1527
2017-02-20,235,1373
2016-09-24,306,1371
2017-04-28,280,1583
2016-07-31,246,1446
2017-02-25,135,1608
2016-10-21,299,1226
2016-12-05,246,1445
2017-04-24,156,1138
2016-11-23,285,899
2016-10-25,250,1371
2016-06-25,260,1079
2017-03-02,194,1734
2016-11-16,236,1501
2016-12-09,252,1585
2016-12-22,173,634
2016-12-07,277,1220
2017-02-28,208,1789
2016-12-16,236,1272
2017-02-12,240,907
2017-03-03,202,798
2017-01-20,122,1536
2016-06-05,270,922
2016-08-15,206,1429
2016-12-09,161,1311
2016-05-18,209,945
2016-06-09,181,1227
2017-02-05,117,1386
2017-03-05,218,1227
2017-04-03,237,700
2017-01-14,109,1318
2016-06-18,115,1078
2017-03-15,127,1022
2017-04-13,306,990
2016-09-05,234,1188
2017-04-26,117,1562
2016-10-07,183,827
2017-04-15,290,759
2016-08-19,282,621
2016-11-09,258,1580
2016-05-26,278,566
2016-05-11,136,1366
2016-08-31,307,978
2016-12-07,236,862
2016-09-20,199,1077
2017-02-06,143,1433
2017-03-24,320,1210
2016-11-01,201,674
2016-06-22,322,1398
2016-07-06,295,1519
2017-01-09,182,1328
2017-01-06,143,1645
2016-08-01,230,1464
2016-06-07,286,972
2016-10-09,162,1369
2016-09-02,326,1384
2016-06-01,223,989
2016-07-17,136,742
2017-02-12,219,840
2016-06-16,310,1672
2016-06-28,238,1119
2016-09-14,228,1388
2017-04-10,254,1307
2017-04-06,140,1602
2016-05-04,159,1557
2016-08-27,208,1552
2016-09-26,273,1405
2016-07-09,281,1270
2016-10-21,179,1231
2017-04-14,199,1627
2017-04-11,127,1399
2017-04-04,237,1526
2016-11-12,330,1369
2016-10-20,111,1405
2017-03-24,239,1476
2016-07-07,256,1571
2016-05-07,123,1789
2016-05-03,157,1678
2016-08-15,132,1757
